Indice,Perf 5Y Annualized,Perf 3Y Annualized,Perf 1Y,Perf YTD,Perf MTD,Volatility 3Y,Volatility 1Y,Volatility 3M
IEIF Immobilier France,-6.048463167859586,-2.3198391350851333,4.812637580944967,-0.06079566338509368,-0.06079566338509368,0.23408010295446532,0.15651536679612996,0.14291110626845677
IEIF Europe Continentale,-5.565177259419918,-8.138956269608977,1.0894699765092053,-2.336627594977303,-2.336627594977303,0.224475699334972,0.16452830277185365,0.15850720459983447
Actions américaines,13.807214034221449,9.299674235150878,23.794262567676363,-0.7098426912427569,-0.7098426912427569,0.1747846522944407,0.12669937899494574,0.12975960252524057
Actions américaines croissance,18.805454764441777,11.072705288924878,24.585871368978896,-0.5958113947561072,-0.5958113947561072,0.23643050124806028,0.1803724138447998,0.1767132314589632
Actions zone euro,6.508597609291034,4.273649785697842,8.646029881892758,2.1611388640254026,2.1611388640254026,0.2166458682731061,0.1589250049488314,0.15782663845027808
Actions émergentes,-0.20845107923560535,-4.084406602778667,9.992676343179285,-1.6044018100446977,-1.6044018100446977,0.18575309362608483,0.15513060314817423,0.14163540289474022
Actions françaises,4.7774730583390435,0.015887221123978,-1.8151475161427566,1.012944853904818,1.012944853904818,0.20818277611209907,0.15586825424381212,0.15579539763355682
Actions internationales,9.36455786093735,5.269997316766251,16.773296889079848,-0.9211823791698492,-0.9211823791698492,0.16534993893418568,0.11961747996840875,0.11557142429108852
Obligations Corporates EUR,-0.44502943210222856,-0.9952042896107183,4.395073256179249,-0.761946491047305,-0.761946491047305,0.05249272988611078,0.03062414465602247,0.02851153138351022
Obligations Corporates internationales,-0.6606459958789612,-2.8270930937636995,0.40268922975863486,-1.035935734524085,-1.035935734524085,0.07930326030478288,0.05583329998221391,0.05512316318301172
Obligations HY EUR,2.0026394858832397,2.2091658184724583,5.709345292680967,-0.43677815075413573,-0.43677815075413573,0.06334981041855657,0.027640410037284034,0.021679487467290193
Obligations internationales HY,2.4941567871089365,2.4611655742335925,6.860230409006229,-0.37146832466512514,-0.37146832466512514,0.06721034030461988,0.03606913018275096,0.03400158859148994
Obligations souveraines EUR,-6.725921548193647,-11.272423615563154,-3.920330414867257,-1.9782011425098278,-1.9782011425098278,0.1566184042505295,0.11564340314854807,0.1070024862664619
Obligations souveraines internationales,-3.652037729554336,-6.656007770567118,-3.934266940741482,-1.351661096128376,-1.351661096128376,0.08379195181438977,0.06901471741584778,0.068050898011412
Or,13.388334189626882,18.22331320958588,39.9698504072129,1.3996463093200795,1.3996463093200795,0.13402081865152393,0.1406878896955287,0.15888383444393545
Argent,12.151302075695082,13.794062691563846,36.45355504587155,4.535471117944212,4.535471117944212,0.2560288986594785,0.2772974577586946,0.2610684891275695
